2023-11-06 13:52:43,518 INFO    StreamThr :1524071 [internal.py:wandb_internal():86] W&B internal server running at pid: 1524071, started at: 2023-11-06 13:52:43.516239
2023-11-06 13:52:43,519 DEBUG   HandlerThread:1524071 [handler.py:handle_request():146] handle_request: status
2023-11-06 13:52:43,520 INFO    WriterThread:1524071 [datastore.py:open_for_write():85] open: /nfs/home/students/t.reim/bachelor/pytorchtest/wandb/run-20231106_135243-ke3ey5g7/run-ke3ey5g7.wandb
2023-11-06 13:52:43,523 DEBUG   SenderThread:1524071 [sender.py:send():380] send: header
2023-11-06 13:52:43,544 DEBUG   SenderThread:1524071 [sender.py:send():380] send: run
2023-11-06 13:52:43,948 INFO    SenderThread:1524071 [dir_watcher.py:__init__():211] watching files in: /nfs/home/students/t.reim/bachelor/pytorchtest/wandb/run-20231106_135243-ke3ey5g7/files
2023-11-06 13:52:43,948 INFO    SenderThread:1524071 [sender.py:_start_run_threads():1122] run started: ke3ey5g7 with start time 1699275163.515887
2023-11-06 13:52:43,956 DEBUG   HandlerThread:1524071 [handler.py:handle_request():146] handle_request: check_version
2023-11-06 13:52:43,956 DEBUG   SenderThread:1524071 [sender.py:send_request():407] send_request: check_version
2023-11-06 13:52:44,028 DEBUG   HandlerThread:1524071 [handler.py:handle_request():146] handle_request: run_start
2023-11-06 13:52:44,033 ERROR   HandlerThread:1524071 [gpu.py:is_available():381] Error initializing NVML: RM has detected an NVML/RM version mismatch.
2023-11-06 13:52:44,033 DEBUG   HandlerThread:1524071 [system_info.py:__init__():32] System info init
2023-11-06 13:52:44,033 DEBUG   HandlerThread:1524071 [system_info.py:__init__():47] System info init done
2023-11-06 13:52:44,033 INFO    HandlerThread:1524071 [system_monitor.py:start():194] Starting system monitor
2023-11-06 13:52:44,034 INFO    SystemMonitor:1524071 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-06 13:52:44,035 INFO    HandlerThread:1524071 [system_monitor.py:probe():214] Collecting system info
2023-11-06 13:52:44,035 INFO    SystemMonitor:1524071 [interfaces.py:start():190] Started cpu monitoring
2023-11-06 13:52:44,035 INFO    SystemMonitor:1524071 [interfaces.py:start():190] Started disk monitoring
