2023-11-17 14:45:30,540 INFO    StreamThr :644406 [internal.py:wandb_internal():86] W&B internal server running at pid: 644406, started at: 2023-11-17 14:45:30.538160
2023-11-17 14:45:30,540 DEBUG   HandlerThread:644406 [handler.py:handle_request():146] handle_request: status
2023-11-17 14:45:30,541 INFO    WriterThread:644406 [datastore.py:open_for_write():85] open: /nfs/home/students/t.reim/bachelor/pytorchtest/slurm/wandb/run-20231117_144530-2ay964gf/run-2ay964gf.wandb
2023-11-17 14:45:30,544 DEBUG   SenderThread:644406 [sender.py:send():380] send: header
2023-11-17 14:45:30,563 DEBUG   SenderThread:644406 [sender.py:send():380] send: run
2023-11-17 14:45:31,017 INFO    SenderThread:644406 [dir_watcher.py:__init__():211] watching files in: /nfs/home/students/t.reim/bachelor/pytorchtest/slurm/wandb/run-20231117_144530-2ay964gf/files
2023-11-17 14:45:31,017 INFO    SenderThread:644406 [sender.py:_start_run_threads():1122] run started: 2ay964gf with start time 1700228730.538552
2023-11-17 14:45:31,026 DEBUG   HandlerThread:644406 [handler.py:handle_request():146] handle_request: check_version
2023-11-17 14:45:31,027 DEBUG   SenderThread:644406 [sender.py:send_request():407] send_request: check_version
2023-11-17 14:45:31,228 DEBUG   HandlerThread:644406 [handler.py:handle_request():146] handle_request: run_start
2023-11-17 14:45:31,243 DEBUG   HandlerThread:644406 [system_info.py:__init__():32] System info init
2023-11-17 14:45:31,243 DEBUG   HandlerThread:644406 [system_info.py:__init__():47] System info init done
2023-11-17 14:45:31,244 INFO    HandlerThread:644406 [system_monitor.py:start():194] Starting system monitor
2023-11-17 14:45:31,244 INFO    SystemMonitor:644406 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-17 14:45:31,244 INFO    HandlerThread:644406 [system_monitor.py:probe():214] Collecting system info
2023-11-17 14:45:31,245 INFO    SystemMonitor:644406 [interfaces.py:start():190] Started cpu monitoring
2023-11-17 14:45:31,245 INFO    SystemMonitor:644406 [interfaces.py:start():190] Started disk monitoring
2023-11-17 14:45:31,246 INFO    SystemMonitor:644406 [interfaces.py:start():190] Started gpu monitoring
2023-11-17 14:45:31,246 INFO    SystemMonitor:644406 [interfaces.py:start():190] Started memory monitoring
2023-11-17 14:45:31,247 INFO    SystemMonitor:644406 [interfaces.py:start():190] Started network monitoring
2023-11-17 14:45:31,271 DEBUG   HandlerThread:644406 [system_info.py:probe():196] Probing system
2023-11-17 14:45:31,277 DEBUG   HandlerThread:644406 [system_info.py:_probe_git():181] Probing git
2023-11-17 14:45:31,297 DEBUG   HandlerThread:644406 [system_info.py:_probe_git():189] Probing git done
2023-11-17 14:45:31,297 DEBUG   HandlerThread:644406 [system_info.py:probe():244] Probing system done
